evidence_id,date,claim,status,evidence_level,model_input_version,code_commit,command,expected,actual,tolerance,artifact_paths,limitations,owner
S-20260810-001,2026-08-10,"三工作区软件能够展示Fig8固定复算 同域参数对照和可编辑独立低频模型并导出可追溯产物",verified,software-e2e,"FastAPI React TypeScript ECharts Chrome or Edge local loopback",5991e5a,"scripts/run_browser_smoke.ps1","论文页 同域页 独立模型 案例往返 CSV 报告和441点扫描均通过真实浏览器流程","BROWSER_E2E_SMOKE_OK; comparison 45/96/35; Fig8 75 uncovered; D-X 441 points","exact visible text and download/popup assertions","apps/web/src; backend/api/app.py; scripts/browser_smoke.mjs; tmp/browser-smoke-comparison.png","浏览器截图是本机临时验收产物不进Git；不能替代异机断网发布包验收",Codex
A-20260810-001,2026-08-10,"统一验收入口在无跳过情况下通过Python 前端 启动器 浏览器和MATLAB五个阶段",verified,acceptance,"Windows; MATLAB R2024b; existing pinned dependencies; commit 5991e5a",5991e5a,"scripts/verify_all.ps1 -NoBootstrap","5 stages pass; 0 fail; 0 skip","Python 56 passed; frontend build passed; launcher passed; browser passed; MATLAB 128 passed 0 failed 0 incomplete; VERIFY_ALL_OK","exact exit status and stage counters","results/test-reports/2026-08-10-unified-release-candidate.md; scripts/verify_all.ps1","Vite仍有大于500kB代码包性能警告；本机验收不等于异机断网验收",Codex
Q-20260810-001,2026-08-10,"团队16状态正序平均值dq单机模型的工作点 方程 线性化 端口互联与层级近似满足内部交叉验证",verified,model-internal-verification,"AverageDQGFMParameters/1.0; NetworkTopology/1.0; average-dq-smib-verification; Python SciPy",76c61dd,"python -m unittest backend.tests.test_average_dq_model backend.tests.test_average_dq_api -v","解析平衡 功率守恒 旋转不变性 Jacobian收敛 端口重组 非线性线性响应 自由衰减和三状态近似均通过","16-state default stable; dominant -2.791023+j10.302688 per s; rhs residual 5.95e-14; power residual 7.76e-17 pu; port closure 5.74e-9; reduction frequency error 0.844 percent; decay error 2.413 percent","test tolerances defined in backend/tests/test_average_dq_model.py","backend/core/average_dq_model.py; backend/tests/test_average_dq_model.py; docs/specs/models/average-dq-gfm-v1-proposal.md","只证明团队定义平均值方程及实现的内部一致性；不是论文Fig8 不含PWM开关 限流 直流侧 多机DAE；未完成可信EMT或实物确认",Codex
W-20260810-001,2026-08-10,"四工作区软件可修改实际计算参数并导出与当前结果一致的可追溯产物",verified,software-e2e,"FastAPI React TypeScript ECharts Playwright local loopback; v0.4.0-rc1",76c61dd,"scripts/run_browser_smoke.ps1","四工作区 参数重算 旧结果失效 JSON CSV HTML报告和研究边界通过真实浏览器流程","BROWSER_E2E_SMOKE_OK; edited average-dq P=0.4 retained in report; time-domain input change invalidates old result","exact visible text button state download and popup assertions","apps/web/src; backend/api/app.py; scripts/browser_smoke.mjs","本机浏览器验收不等于异机安全软件和断网环境确认",Codex
A-20260810-002,2026-08-10,"当前干净分支通过Python 前端 启动器 浏览器和MATLAB五阶段统一验收",verified,acceptance,"Windows 11 x64; Python 3.12; Node.js; MATLAB R2024b; commit 8f57be4",8f57be4,"scripts/verify_all.ps1","5 stages pass; 0 fail; 0 skip","Python 78 passed; frontend build passed; launcher passed; browser passed; MATLAB 128 passed 0 failed 0 incomplete; PASS=5 FAIL=0 SKIP=0; VERIFY_ALL_OK; 110.2 s","exact exit status stage counters and test counts","results/test-reports/2026-08-10-v0.4-average-dq-rc1.md; scripts/verify_all.ps1","Vite有大于500kB代码包性能提示；本机统一验收不等于异机断网验收或物理模型确认",Codex
R-20260810-001,2026-08-10,"v0.4.0-rc1 Windows自包含候选包从干净提交构建并通过包内功能验收",verified,release-candidate,"Windows x64 PyInstaller onedir; package commit 76c61dd; runtime evidence schema 1.1",76c61dd,"scripts/build_release.ps1 -Version 0.4.0-rc1; packaged verify_this_pc.ps1 -NonInteractive","clean manifest current frontend four calculation chains four reports hash and port release pass","ZIP 70647784 bytes SHA256 102a857c2d52998cb84368df2d63bb30a7c10079c127af49a262180f58578387; 1005 files; 62 components; 108 license files; GFM_CROSS_MACHINE_FUNCTIONAL_OK; GFM_M5_QUALIFICATION_INCOMPLETE","exact manifest hash baseline and qualification assertions","output/release/GFM-Stability-Platform-0.4.0-rc1-windows-x64.zip; output/release/GFM-Stability-Platform-0.4.0-rc1-windows-x64/release-manifest.json; results/test-reports/2026-08-10-v0.4-average-dq-rc1.md","本开发机不是断网且无开发环境的外部验收机；M5未完成；项目自有代码许可证仍待决定",Codex
Q-20260810-002,2026-08-10,"16状态平均值dq与工作点匹配三状态模型的42点D-X层级对照完成",verified,model-hierarchy,"AverageDQGFMParameters/1.0; NetworkTopology/1.0; fixed 7x6 grid; commit 11eebeb",11eebeb,"python -m unittest discover -s backend/tests -v; scripts/run_browser_smoke.ps1","42 valid points; stability uses independent rightmost poles; synchronization error uses disclosed nearest complex-plane mode; browser heatmap and JSON pass","39 agreement; 3 disagreement; 0 invalid; D60 X0.1 full rightmost +4.586+j35.934 per s; matched full sync -1.140+j14.898; reduced -1.231+j14.355; D500 X0.3 remains valid stable real-dominant","fixed grid exact counts pole anchors finite-difference convergence port closure and real-dominant counterexample","backend/core/average_dq_scan.py; backend/tests/test_average_dq_scan.py; docs/specs/models/average-dq-gfm-v1-proposal.md","参与因子只作模态诊断；最近邻匹配不证明跨参数模态连续；未完成可信EMT或实物确认",Codex
A-20260810-003,2026-08-10,"v0.4.0-rc2冻结实现通过Python前端启动器浏览器和MATLAB五阶段统一验收",verified,acceptance,"Windows 11 x64; Python 3.12; Node.js; MATLAB R2024b; frozen source commit 11eebeb",11eebeb,"scripts/verify_all.ps1","5 stages pass; 0 fail; 0 skip","Python 85 passed; frontend build passed; launcher passed; browser passed; MATLAB 128 passed 0 failed 0 incomplete; PASS=5 FAIL=0 SKIP=0; VERIFY_ALL_OK; 100.5 s","exact exit status stage counters and frozen research counts","results/test-reports/2026-08-10-v0.4-model-hierarchy-rc2.md; scripts/verify_all.ps1","Vite有大于500kB代码包性能提示；本机统一验收不等于异机断网验收或物理模型确认",Codex
R-20260810-002,2026-08-10,"v0.4.0-rc2 Windows自包含候选包从干净提交构建并通过包内功能验收",verified,release-candidate,"Windows x64 PyInstaller onedir; package commit 11eebeb; runtime evidence schema 1.2",11eebeb,"scripts/build_release.ps1 -Version 0.4.0-rc2; packaged verify_this_pc.ps1 -NonInteractive","clean manifest current frontend four calculation chains hierarchy scan four reports hash and port release pass","ZIP 70660054 bytes SHA256 55c58253336f8e1a7b4132a097908e45ae2a26281f00ea2c5fb1e133468d2c3f; 1005 files; 62 components; 108 license files; GFM_CROSS_MACHINE_FUNCTIONAL_OK; GFM_M5_QUALIFICATION_INCOMPLETE","exact manifest hash baseline hierarchy counts and qualification assertions","output/release/GFM-Stability-Platform-0.4.0-rc2-windows-x64.zip; output/release/GFM-Stability-Platform-0.4.0-rc2-windows-x64/release-manifest.json; results/test-reports/2026-08-10-v0.4-model-hierarchy-rc2.md","本开发机不是断网且无开发环境的外部验收机；M5未完成；项目自有代码许可证仍待决定",Codex
Q-20260811-001,2026-08-11,"固定19点控制与LCL参数消融在团队16状态平均值dq模型中完成模态连续追踪和端点稳定性筛查",verified,model-internal-verification,"AverageDQGFMParameters/1.0; fixed D=60 and external X=0.1 pu anchor; 19 prescribed endpoints",efc0242,"python experiments/average-dq/run_modal_ablation.py; python -m unittest discover -s backend/tests -v","19 endpoints; independent rightmost-pole classification; named extra and synchronization modes either matched under disclosed gates or pending","19 endpoints; 5 stable and 14 unstable; extra modes 19 matched 0 pending; synchronization modes 19 matched 0 pending; JSON SHA256 07FB438B63C69DBA30A7FB4050B90B3BFA385E885F75DFDD997333DE92E21CB3; CSV SHA256 30FD37E50C331349692E012FA0E4447ACEE337AFD075C1DBE672861AD82CB79C","exact endpoint counts; independent hard gates MAC left/right >=0.8 distance <=0.3 condition <=1e8 residual <=1e-10 local margin >=0.2","backend/core/average_dq_ablation.py; results/average-dq-ablation/modal_ablation_results.json; results/average-dq-ablation/modal_ablation_points.csv; docs/research/average-dq-modal-ablation-19-point.md","仅支持固定团队模型和所测端点的数值关联；参与度与MAC不证明唯一因果、全域单调性或EMT与硬件稳定性",Codex
W-20260811-001,2026-08-11,"v0.5.0-dev源码中的固定19点实验可由脚本 API 和浏览器工作区重算并保留边界说明",verified,software-e2e,"FastAPI React TypeScript ECharts Playwright local loopback; branch research/nontrivial-core",efc0242,"python -m unittest discover -s backend/tests -v; npm run build; scripts/run_browser_smoke.ps1","107 Python tests pass; frontend builds; browser recalculates 19 points and displays 5 stable 14 unstable with export enabled","107 passed; frontend production build passed; BROWSER_E2E_SMOKE_OK; git diff check passed","exact process exit states visible counts and enabled export control","results/test-reports/2026-08-11-v0.5-modal-ablation-dev.md; apps/web/src/AverageDQWorkbench.tsx; scripts/browser_smoke.mjs","专用大JSON的无头浏览器下载事件未作为阻断项；API JSON 固定JSON和CSV另有独立测试；此项不是异机断网发布验收",Codex
Q-20260816-001,2026-08-16,"团队16状态平均值dq模型在四条冻结单因素路径上的附加模态过零与完整模型稳定边界一致",verified,model-internal-verification,"AverageDQGFMParameters/1.0; fixed D=60 and external X=0.1 pu anchor; four prescribed one-factor paths",a5dba84,"python experiments/average-dq/run_modal_boundary.py; python -m unittest backend.tests.test_average_dq_boundary backend.tests.test_average_dq_boundary_experiment -v","each point rebuilds operating point and linearization; tracked extra-mode real-part and full spectral-abscissa roots solved independently by geometric bisection","4 extra-mode boundaries converged; 4 full-model boundaries converged; 4 agreed; factors 1.629745921 1.601644524 0.693169050 1.994560468; JSON SHA256 65A765E94A841B0C3EF1B29668DF9DC00B7B435876FFA76515BF6CCC9468BE55; CSV SHA256 D166AA30F8D7D9CB6E29F1945FD07CDFDEE2BB94E621370ACBD0FE7B60135768","factor relative tolerance 1e-5; pole real tolerance 1e-5 per s; maximum 40 iterations; failed tracking remains pending","backend/core/average_dq_boundary.py; results/average-dq-boundary; docs/research/average-dq-one-factor-boundaries.md","仅适用于固定团队模型和四条单因素路径；不证明唯一因果 全参数域单调性 论文定理边界或EMT硬件稳定性",Codex
W-20260816-001,2026-08-16,"当前源码在中等窗口下无平均值dq布局叠压并可由API和网页重算四条临界边界",verified,software-e2e,"FastAPI React TypeScript ECharts Playwright local loopback; branch research/nontrivial-core",a5dba84,"python -m unittest discover -s backend/tests -v; npm run build; scripts/run_browser_smoke.ps1","122 Python tests pass; frontend builds; browser checks 1078x997 no horizontal overflow panel escape or overlap and recalculates four boundaries","122 passed; frontend production build passed; BROWSER_E2E_SMOKE_OK; 4 of 4 boundaries visible and export enabled","exact process exit states responsive geometry assertions visible counts and enabled export control","results/test-reports/2026-08-16-v0.5-average-dq-boundaries-responsive-ui.md; apps/web/src/AverageDQWorkbench.tsx; scripts/browser_smoke.mjs","本机浏览器回归不等于新的Windows冻结包或异机断网验收；v0.4.0-rc2不含本轮界面与研究功能",Codex
Q-20260816-002,2026-08-16,"作者Fig.8固定夹具的有限网格覆盖对频率采样密度存在可复现漏检反例",verified,numerical-sensitivity,"pinned Fig.8 1000-point fixture; D=0.05 and D=0.5; retrospective deterministic subgrids",eef1504,"python experiments/baseline/run_fig8_sampled_sensitivity.py; python -m unittest discover -s backend/tests -v","subgrid counts 9 15 31 63 125 250 500 1000; final decision tolerances 1e-12 to 1e-6; common positive scales 1e-9 to 1e9","D0.05 full grid 75 uncovered in 0.4985373464 to 1.6451905878 Hz; 9-point subgrid detects 0 and misses all 75; tested tolerance and scale mismatch counts 0; D0.5 remains 0 uncovered","exact row counts endpoint preservation pointwise classification mismatch and stable-case controls","backend/core/fig8_sensitivity.py; results/fig8-sensitivity; docs/research/fig8-sampled-sensitivity.md","仅说明固定夹具和所测设置中的离散化风险；不证明连续全频覆盖；尺度不是物理参数扰动；容差不改变数值域角搜索",Codex
W-20260816-002,2026-08-16,"v0.5源码接入Fig.8采样敏感性并以Carbon White Theme修复平均值dq中等视口布局",verified,software-e2e,"FastAPI React TypeScript ECharts Playwright Chromium local loopback; branch research/nontrivial-core",eef1504,"python -m unittest discover -s backend/tests -v; npm run build; node scripts/browser_smoke.mjs","133 Python tests pass; five printable reports; browser verifies sensitivity workflow and 1078px two-column geometry; runtime evidence schema 1.3","133 passed in 137.710 s; frontend production build passed; BROWSER_E2E_SMOKE_OK; 1080px measured 320px controls 692px workspace 24px gutter no horizontal overflow","exact process exit states fixed sensitivity anchors API report phrases responsive DOM geometry and enabled exports","results/test-reports/2026-08-16-v0.5-fig8-sampled-sensitivity.md; apps/web/src/styles.css; scripts/browser_smoke.mjs","IBM Carbon public theme tokens used without runtime network dependency; local browser regression is not a new Windows frozen package or offline cross-machine acceptance",Codex
W-20260816-003,2026-08-16,"平均值dq工作区按AutoFigure-Edit式现代科研画布重组参数研究任务和结果操作",verified,software-ui,"React TypeScript Vite Playwright Chromium; AutoFigure-Edit MIT visual reference; branch research/nontrivial-core",9efe50b,"npm run build; node scripts/browser_smoke.mjs; scripted viewport geometry checks at 620 900 1080 1440 1600 px","left panel contains parameters and primary analysis only; three research tasks are separate cards; exports follow result state; full browser workflows remain functional","frontend production build passed; BROWSER_E2E_SMOKE_OK; 1080px 320/692 columns and 24px gutter; controls height about 858px; no horizontal overflow at five tested widths","exact DOM geometry accessible button states downloads popups fixed research counts and full workflow exit status","docs/design/frontend-reference-study.md; results/test-reports/2026-08-16-v0.5-modern-research-ui.md; apps/web/src/AverageDQWorkbench.tsx; apps/web/src/styles.css","借鉴公开视觉令牌与信息架构 不复制品牌素材；首轮因旧按钮定位器超时后已同步并重跑；本机视觉回归不等于外部模型确认或新Windows发布包",Codex
Q-20260816-003,2026-08-16,"团队16状态平均值dq模型的非线性闭环正弦响应在三个频点支持设备端口线性化实现",verified,model-internal-verification,"AverageDQGFMParameters/1.0; average-dq-smib-verification; 0.2 2 20 Hz; source amplitude 1e-4 pu",c76df5c,"python experiments/average-dq/run_port_sinestream_identification.py; python -m unittest discover -s backend/tests -v; python -m unittest backend.tests.test_average_dq_port_identification_experiment -v","nonlinear PCC voltage and network-to-device current identify 2x2 Y by I times inverse V; magnitude error below 1 percent; phase error below 1 degree; residual below 2 percent; cond(V) below 100","3 of 3 frequencies passed; maximum magnitude relative error 0.0001709590; maximum phase error 0.02308945 deg; maximum residual ratio 0.0007595352; maximum cond(V) 3.068816; 2 Hz amplitude-halving maximum element change 0.0002941263; full 137 tests passed and 2 artifact tests passed; JSON SHA256 74F4F2FFA0169ABEFD34D5B9139BC98021E6BD4F149E97BEB24E369FE93CC8AD; CSV SHA256 6B80966E5B286B8382098096ABB4381DEB5B9C66536AB2A58C6CBC39A806F03C","elementwise magnitude relative error less than 0.01; phase error less than 1 degree; normalized residual less than 0.02; voltage phasor condition number less than 100","backend/core/average_dq_port_identification.py; experiments/average-dq/run_port_sinestream_identification.py; results/average-dq-port-identification; docs/research/average-dq-port-sinestream-identification.md","仅为团队单机平均值dq模型内部软件验证；开端口设备矩阵不稳定故采用稳定闭环源电压注入；不构成硬件 EMT 连续全频或论文定理确认",Codex
W-20260816-004,2026-08-16,"三频点端口正弦辨识已接入API现代科研画布报告与下一版运行时证据",verified,software-e2e,"FastAPI React TypeScript Vite Playwright Chromium; runtime evidence schema 1.4; branch research/nontrivial-core",5da8489,"python -m unittest discover -s backend/tests -v; npm run build; node scripts/browser_smoke.mjs; python -m backend.launcher --smoke-test --evidence-file tmp/runtime-evidence-v1p4.json","fixed preset only; script API and report share one calculation path; browser runs three frequencies exports JSON and opens report; production smoke validates numerical gates and scope","142 passed in 302.383 s; frontend production build passed; BROWSER_E2E_SMOKE_OK; GFM_RELEASE_SMOKE_OK; frequencies 0.2 2 20 Hz; magnitude error 0.0001709590; phase error 0.02308945 deg; residual 0.0007595352; cond(V) 3.068816; amplitude-halving change 0.0002941263; report passed","exact process exit states fixed API contract three result rows numerical thresholds downloaded JSON report boundary phrases runtime schema and port release","results/test-reports/2026-08-16-v0.5-port-identification-software-integration.md; backend/launcher.py; apps/web/src/AverageDQWorkbench.tsx; scripts/browser_smoke.mjs","当前为源码与未来发布链核验 未重建Windows v0.5冻结包；历史1.2/1.3证据缺少该检查；不构成硬件EMT或论文定理确认",Codex
Q-20260816-004,2026-08-16,"MathWorks固定GFM模型的三点SCR有功阶跃结果否定强网无条件单调改善假设",verified,external-model-validation,"MathWorks Power-Converter-Circuit-Control-Simscape tag 23.2.1.4 commit a65692b; MATLAB R2024b; VSM virtual impedance X/R=5; SCR 1.5 2.5 5.0",901299e,"run experiments/external-validation/run_mathworks_gfm_scr_step_study.m; python -m unittest discover -s backend/tests -v; python -m ruff check backend/tests/test_mathworks_external_artifact.py","vendor initialization rerun per point; frozen condition hash checked; Simulink.SimulationInput variables injected; vendor FindTestOutCome and project settling metrics recorded","SCR 1.5 and 2.5 Stable with settling 0.6467 and 0.4688 s; SCR 5 Unstable with no settlement 184.8214725 Hz maximum frequency deviation and 0.513580896 pu final power error; 145 passed in 251.686 s; GFM_RELEASE_SMOKE_OK; JSON SHA256 169730ED706FA7BDAF147C071DD62C4CB6522FCD5714912184D51E5EF58860F7; CSV SHA256 6568035027639E1EB2AB09372B7CD8B06A2C644E72F55795EA0ECCFF9CCB6799","exact external commit and source hashes fixed three-point contract vendor classification JSON CSV parity and full backend regression","docs/research/mathworks-gfm-external-scr-step-study.md; experiments/external-validation/run_mathworks_gfm_scr_step_study.m; results/mathworks-gfm-external-validation; results/test-reports/2026-08-16-v0.5-mathworks-external-scr-step.md","三点离散结果不建立连续SCR边界 不证明唯一控制机理 不属于硬件在环实物或论文稳定性充分条件验证",Codex
Q-20260817-001,2026-08-17,"MathWorks固定GFM模型八点因子对照显示所测SCR=5工况可由提高VSM阻尼恢复稳定",verified,external-model-validation,"MathWorks tag 23.2.1.4 commit a65692b; MATLAB R2024b; SCR 2.5 and 5.0; VSM damping 0.6 1.056 2.0 4.0 pu; virtual impedance X/R=5",0288a2c,"run experiments/external-validation/run_mathworks_gfm_scr_damping_factorial.m; python -m unittest backend.tests.test_mathworks_external_factorial_artifact -v; python -m unittest discover -s backend/tests -v","pre-registered 2 by 4 factors; scalar Simulink.SimulationInput per point; full vendor initialization; vendor FindTestOutCome; immediate waveform release and checkpointing","SCR 2.5 four points Stable; SCR 5 damping 0.6 and 1.056 Unstable while damping 2 and 4 Stable; main hypothesis supported; frequency-deviation monotonicity false for SCR 5; 148 passed in 274.115 s; GFM_RELEASE_SMOKE_OK; JSON SHA256 90173E9BA8F9E554FF7058AF2E004A741C37F4ED7340FEB78064D045F0033FEA; CSV SHA256 E49CA0CC05072F8B972A80911FA8DE2FFE3C5588C3B6272A7C2090D976DEC72B","fixed source hashes factor order stable matrix point metrics JSON CSV parity no-final-checkpoint and full backend regression","docs/research/mathworks-gfm-scr-damping-factorial.md; experiments/external-validation/run_mathworks_gfm_scr_damping_factorial.m; results/mathworks-gfm-external-validation; results/test-reports/2026-08-17-v0.5-mathworks-scr-damping-factorial.md","八点结果不是统计学交互估计 连续稳定边界 唯一因果机理 硬件验证或论文稳定性充分条件验证；快速重启失败与并发高内存负载记录为方法边界",Codex
